,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3,membrane
129,APM-hyp_3,10,9,21,2.1,214,6,300.0,15.0,,,,,APM-hyp
130,APM-hyp_3,11,9,19,1.9,41,244,,,,,,,APM-hyp
131,APM-hyp_3,12,9,19,1.9,245,269,,,,,,,APM-hyp
132,APM-hyp_3,13,9,19,1.9,111,237,,,,,,,APM-hyp
133,APM-hyp_3,14,9,15,1.5,294,28,,,,,,,APM-hyp
134,APM-hyp_3,15,9,19,1.9,262,65,,,,,,,APM-hyp
135,APM-hyp_3,16,9,39,3.9,224,9,,,,,,,APM-hyp
136,APM-hyp_3,17,9,22,2.2,43,297,,,,,,,APM-hyp
137,APM-hyp_3,18,9,25,2.5,292,7,,,,,,,APM-hyp
138,APM-hyp_3,19,9,16,1.6,295,11,,,,,,,APM-hyp
139,APM-hyp_3,20,9,38,3.8,296,136,49.0,243.0,,,,,APM-hyp
140,APM-hyp_3,21,9,25,2.5,245,270,,,,,,,APM-hyp
141,APM-hyp_3,22,9,31,3.1,104,77,,,,,,,APM-hyp
142,APM-hyp_3,23,9,29,2.9,254,260,,,,,,,APM-hyp
143,APM-hyp_3,24,9,31,3.1,41,257,246.0,277.0,,,,,APM-hyp
144,APM-hyp_3,25,9,43,4.3,114,170,,,,,,,APM-hyp
145,APM-hyp_3,26,9,23,2.3,35,237,291.0,35.0,135.0,219.0,,,APM-hyp
146,APM-hyp_3,27,9,28,2.8,186,266,,,,,,,APM-hyp
147,APM-hyp_3,28,9,37,3.7,62,289,133.0,232.0,,,,,APM-hyp
148,APM-hyp_3,29,9,19,1.9,205,292,,,,,,,APM-hyp
149,APM-hyp_3,30,9,28,2.8,263,68,,,,,,,APM-hyp
150,APM-hyp_3,31,9,25,2.5,293,11,,,,,,,APM-hyp
151,APM-hyp_3,32,9,26,2.6,254,77,275.0,50.0,,,,,APM-hyp
152,APM-hyp_3,33,9,13,1.3,206,12,,,,,,,APM-hyp
153,APM-hyp_3,34,9,26,2.6,297,295,,,,,,,APM-hyp
154,APM-hyp_3,35,9,28,2.8,103,87,188.0,220.0,,,,,APM-hyp
155,APM-hyp_3,36,9,25,2.5,27,4,103.0,63.0,,,,,APM-hyp
156,APM-hyp_3,37,9,34,3.4,136,211,,,,,,,APM-hyp
157,APM-hyp_3,38,9,21,2.1,187,293,239.0,258.0,,,,,APM-hyp
158,APM-hyp_3,39,9,27,2.7,284,35,,,,,,,APM-hyp
159,APM-hyp_3,40,9,31,3.1,214,296,,,,,,,APM-hyp
160,APM-hyp_3,41,9,19,1.9,243,265,295.0,122.0,,,,,APM-hyp
161,APM-hyp_3,42,9,25,2.5,3,39,,,,,,,APM-hyp
162,APM-hyp_3,43,9,17,1.7,126,183,,,,,,,APM-hyp
163,APM-hyp_3,44,9,26,2.6,297,142,,,,,,,APM-hyp
164,APM-hyp_3,45,9,15,1.5,246,273,,,,,,,APM-hyp
165,APM-hyp_3,46,9,19,1.9,241,276,,,,,,,APM-hyp
166,APM-hyp_3,47,9,14,1.4,204,19,,,,,,,APM-hyp
167,APM-hyp_3,48,9,39,3.9,205,5,275.0,28.0,,,,,APM-hyp
168,APM-hyp_3,49,9,14,1.4,244,275,,,,,,,APM-hyp
169,APM-hyp_3,50,9,13,1.3,66,105,,,,,,,APM-hyp
170,APM-hyp_3,51,9,13,1.3,290,27,,,,,,,APM-hyp
171,APM-hyp_3,52,9,15,1.5,284,31,,,,,,,APM-hyp
172,APM-hyp_3,53,9,10,1.0,204,24,,,,,,,APM-hyp
173,APM-hyp_3,54,9,16,1.6,130,189,,,,,,,APM-hyp
174,APM-hyp_3,55,9,21,2.1,101,50,133.0,273.0,,,,,APM-hyp
175,APM-hyp_3,56,9,27,2.7,130,194,,,,,,,APM-hyp
176,APM-hyp_3,57,9,25,2.5,292,8,,,,,,,APM-hyp
177,APM-hyp_3,58,9,32,3.2,207,296,287.0,146.0,,,,,APM-hyp
178,APM-hyp_3,59,9,21,2.1,47,243,258.0,24.0,,,,,APM-hyp
179,APM-hyp_3,60,9,22,2.2,251,266,271.0,129.0,,,,,APM-hyp
180,APM-hyp_4,1,9,21,2.1,79,279,,,,,,,APM-hyp
181,APM-hyp_4,2,9,20,2.0,196,289,,,,,,,APM-hyp
182,APM-hyp_4,3,9,29,2.9,10,82,45.0,146.0,,,,,APM-hyp
183,APM-hyp_4,4,9,22,2.2,70,269,,,,,,,APM-hyp
184,APM-hyp_4,5,9,13,1.3,171,153,,,,,,,APM-hyp
185,APM-hyp_4,6,9,13,1.3,210,258,,,,,,,APM-hyp
186,APM-hyp_4,7,9,25,2.5,168,173,,,,,,,APM-hyp
187,APM-hyp_4,8,9,31,3.1,216,280,,,,,,,APM-hyp
