,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
93,20,40,,39.01599125,-0.005478490088,69.99078091,0.2654710302
94,190,180,,35.51446517,0.0007765996391,84.90819363,0.1975392987
95,10,220,,32.80096264,-0.009126579455,62.04034246,0.1078711419
96,130,250,,38.30480187,-0.002784199238,77.41519555,0.242104369
97,160,70,,35.22706788,0.02456620371,73.13448525,0.1951802688
98,110,40,,34.4328351,-0.02420411754,67.17455731,0.1664263358
99,200,120,,35.9155795,-0.01479115445,69.86275588,0.2423681962
100,180,50,,35.07329697,0.0147630633,71.51945209,0.2774106221
101,90,180,,32.72766366,0.01331952427,68.87637301,0.2004386343
102,180,120,,35.76723687,-0.02346224245,81.42843565,0.1876495679
103,290,210,,34.03094748,-0.01045636755,93.11552822,0.1554085451
104,100,160,,33.68807995,-0.0160640038,84.19622304,0.2193897103
105,110,170,,35.79520272,0.02404718857,57.50383152,0.1854865871
106,100,30,,35.11832591,0.01463722246,75.96951046,0.2522042341
107,90,230,,33.62342034,-0.01259701835,65.24141089,0.2098482948
108,300,90,,34.84819385,0.02093035657,87.40345906,0.2104837519
109,90,190,,35.81173923,-0.008544878446,76.9415999,0.1773887891
110,270,20,,31.70635019,0.01678275176,81.2222716,0.1308915484
111,10,310,,28.720253,0.0218907557,114.3960715,0.09978709864
112,40,60,,31.26936941,-0.02159179065,61.62483331,0.1844458882
113,110,140,,38.81052356,-0.001368048029,63.26953552,0.2603057491
114,310,290,,34.79768375,0.06206298712,58.83543188,0.1620701368
115,280,170,,35.04374502,-0.01518654063,74.63607355,0.2487755445
116,310,70,,37.75668206,-0.009108907509,81.09370207,0.1385537858
117,120,90,,34.10322032,-0.02630452259,49.63723108,0.1733215985
118,80,10,,35.91603083,0.04442293038,62.24307158,0.2000447972
119,110,100,,34.70383278,-0.0182695561,95.09238939,0.1805963307
120,260,20,,34.6456306,-0.01805412174,99.59375234,0.2134532356
121,110,310,,35.73084065,0.001890444542,90.7956736,0.2363957355
122,280,90,,36.64576571,-0.02482478386,60.66354764,0.1945260408
123,240,150,,35.4265024,0.01046992632,93.22163742,0.2559969749
124,20,170,,37.1208497,-0.01388605727,53.02279897,0.3185405735
125,280,260,,36.25550933,-0.002095497063,97.04351642,0.1285323299
126,240,210,,36.97982623,0.02408317457,73.5640292,0.3045126476
127,310,90,,33.41029156,0.005141891017,85.91662318,0.1540893804
128,150,200,,34.30627088,0.006868334645,65.54277407,0.187160469
129,210,60,,33.42036886,0.006267736863,58.39585741,0.1405601573
130,60,200,,34.90258413,-0.004216613532,64.60701763,0.1822551237
131,80,150,,35.69515734,0.0003869115063,53.80994768,0.2489246129
132,150,70,,37.27609243,-0.00646122392,90.24795236,0.1973552668
133,280,200,,35.63623347,-0.005636409194,69.67013918,0.1591365196
134,150,150,,38.12953857,0.008038909031,72.91267396,0.2851611432
135,230,210,,32.92356801,-0.03239433955,68.87810126,0.1534526662
136,180,130,,35.27960741,0.01933030697,84.98396598,0.1845578385
137,200,60,,37.40790688,-0.01947252004,65.72551228,0.2768011604
138,270,160,,35.91258418,0.006350136383,64.28716973,0.2110101858
139,300,250,,37.99012531,0.01194975023,76.42748444,0.1955555774
140,210,80,,32.17763611,0.002077742994,71.31314301,0.1355889956
141,300,200,,38.15233513,-0.04883158049,64.14998919,0.2360510129
142,310,200,,34.8934524,0.003810543882,78.92992202,0.2444060197
143,180,100,,34.79808209,0.02079642836,61.17074621,0.1134804784
144,230,310,,34.42766109,-0.002517747297,80.98867861,0.1513116872
145,180,140,,35.80986376,0.0304315777,53.6271572,0.1745022415
146,280,60,,31.21105988,-0.008779602071,70.10872015,0.09397942795
147,80,240,,35.39190502,0.003926350813,74.57308021,0.2209647975
148,110,110,,34.92309375,0.01712091881,94.40410046,0.1605392644
149,100,150,,34.54252176,0.006755320265,59.53238574,0.1544146477
150,90,260,,36.30472708,-0.005479993563,80.33551966,0.1971257256
151,90,10,,38.76725442,0.008020458724,86.3762228,0.2800122081
152,70,100,,35.76370665,0.002373029394,77.81195636,0.2056285698
153,210,250,,35.28483036,-0.04450404265,87.24431179,0.2918460928
154,180,200,,34.3533656,-0.004848672111,79.38548451,0.2510535929
155,60,30,,37.18325704,-0.01910272333,56.8560093,0.2027871167
