,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
138,BPM-hyp_3,19,9,103,10.3,239,186,147,234,,,,
139,BPM-hyp_3,20,9,31,3.1,106,210,,,,,,
140,BPM-hyp_3,21,9,81,8.1,73,118,260,167,,,,
141,BPM-hyp_3,22,9,49,4.9,272,104,,,,,,
142,BPM-hyp_3,23,9,56,5.6,185,139,,,,,,
143,BPM-hyp_3,24,9,28,2.8,42,125,,,,,,
144,BPM-hyp_3,25,9,43,4.3,98,182,,,,,,
145,BPM-hyp_3,26,9,79,7.9,199,212,,,,,,
146,BPM-hyp_3,27,9,37,3.7,223,197,,,,,,
147,BPM-hyp_3,28,9,72,7.2,49,93,,,,,,
148,BPM-hyp_3,29,9,81,8.1,180,222,,,,,,
149,BPM-hyp_3,30,9,45,4.5,229,224,,,,,,
150,BPM-hyp_3,31,9,52,5.2,206,223,,,,,,
151,BPM-hyp_3,32,9,65,6.5,123,243,,,,,,
152,BPM-hyp_3,33,9,123,12.3,184,241,,,,,,
153,BPM-hyp_3,34,9,31,3.1,125,264,,,,,,
154,BPM-hyp_3,35,9,38,3.8,213,274,,,,,,
155,BPM-hyp_3,36,9,52,5.2,139,252,,,,,,
156,BPM-hyp_3,37,9,74,7.4,200,218,,,,,,
157,BPM-hyp_3,38,9,31,3.1,91,76,,,,,,
158,BPM-hyp_3,39,9,116,11.6,260,182,,,,,,
159,BPM-hyp_3,40,9,55,5.5,26,251,,,,,,
160,BPM-hyp_3,41,9,37,3.7,183,62,,,,,,
161,BPM-hyp_3,42,9,43,4.3,157,227,,,,,,
162,BPM-hyp_3,43,9,37,3.7,179,208,,,,,,
163,BPM-hyp_3,44,9,90,9.0,265,161,195,217,,,,
164,BPM-hyp_3,45,9,49,4.9,173,102,,,,,,
165,BPM-hyp_3,46,9,31,3.1,226,218,,,,,,
166,BPM-hyp_3,47,9,70,7.0,44,166,,,,,,
167,BPM-hyp_3,48,9,103,10.3,43,140,,,,,,
168,BPM-hyp_3,49,9,88,8.8,275,152,,,,,,
169,BPM-hyp_3,50,9,37,3.7,168,253,,,,,,
170,BPM-hyp_3,51,9,74,7.4,105,275,,,,,,
171,BPM-hyp_3,52,9,64,6.4,169,118,,,,,,
172,BPM-hyp_3,53,9,52,5.2,231,204,,,,,,
173,BPM-hyp_3,54,9,51,5.1,113,82,191,213,,,,
174,BPM-hyp_3,55,9,40,4.0,123,257,,,,,,
175,BPM-hyp_3,56,9,62,6.2,45,298,,,,,,
176,BPM-hyp_3,57,9,74,7.4,196,220,,,,,,
177,BPM-hyp_3,58,9,43,4.3,244,171,,,,,,
178,BPM-hyp_3,59,9,121,12.1,274,188,,,,,,
179,BPM-hyp_3,60,9,63,6.3,164,211,,,,,,
180,BPM-hyp_4,1,9,31,3.1,68,136,,,,,,
181,BPM-hyp_4,2,9,37,3.7,71,130,118,257,,,,
182,BPM-hyp_4,3,9,75,7.5,184,118,124,264,,,,
183,BPM-hyp_4,4,9,40,4.0,156,19,,,,,,
184,BPM-hyp_4,5,9,43,4.3,65,138,,,,,,
185,BPM-hyp_4,6,9,49,4.9,172,75,,,,,,
186,BPM-hyp_4,7,9,72,7.2,128,170,,,,,,
187,BPM-hyp_4,8,9,37,3.7,63,130,,,,,,
188,BPM-hyp_4,9,9,63,6.3,182,89,,,,,,
189,BPM-hyp_4,10,9,19,1.9,75,284,,,,,,
190,BPM-hyp_4,11,9,43,4.3,55,130,,,,,,
191,BPM-hyp_4,12,9,43,4.3,73,127,,,,,,
192,BPM-hyp_4,13,9,51,5.1,76,136,,,,,,
193,BPM-hyp_4,14,9,46,4.6,66,135,,,,,,
194,BPM-hyp_4,15,9,32,3.2,175,37,,,,,,
195,BPM-hyp_4,16,9,43,4.3,66,136,,,,,,
196,BPM-hyp_4,17,9,25,2.5,147,125,,,,,,
197,BPM-hyp_4,18,9,26,2.6,33,90,,,,,,
198,BPM-hyp_4,19,9,43,4.3,153,48,,,,,,
199,BPM-hyp_4,20,9,37,3.7,161,114,,,,,,
200,BPM-hyp_4,21,9,25,2.5,62,139,,,,,,
201,BPM-hyp_4,22,9,74,7.4,152,66,,,,,,
202,BPM-hyp_4,23,9,21,2.1,60,138,,,,,,
203,BPM-hyp_4,24,9,20,2.0,66,140,,,,,,
204,BPM-hyp_4,25,9,49,4.9,53,93,,,,,,
205,BPM-hyp_4,26,9,64,6.4,262,42,,,,,,
206,BPM-hyp_4,27,9,73,7.3,147,270,,,,,,
207,BPM-hyp_4,28,9,37,3.7,68,130,,,,,,
208,BPM-hyp_4,29,9,90,9.0,30,86,,,,,,
209,BPM-hyp_4,30,9,31,3.1,134,194,,,,,,
210,BPM-hyp_4,31,9,51,5.1,66,144,,,,,,
211,BPM-hyp_4,32,9,44,4.4,25,95,162,65,,,,
212,BPM-hyp_4,33,9,64,6.4,43,227,,,,,,
213,BPM-hyp_4,34,9,32,3.2,216,60,,,,,,
214,BPM-hyp_4,35,9,63,6.3,24,108,,,,,,
215,BPM-hyp_4,36,9,49,4.9,57,118,,,,,,
216,BPM-hyp_4,37,9,55,5.5,215,77,,,,,,
217,BPM-hyp_4,38,9,49,4.9,207,73,,,,,,
218,BPM-hyp_4,39,9,60,6.0,155,252,,,,,,
219,BPM-hyp_4,40,9,25,2.5,171,45,,,,,,
220,BPM-hyp_4,41,9,20,2.0,66,138,,,,,,
221,BPM-hyp_4,42,9,37,3.7,66,137,,,,,,
222,BPM-hyp_4,43,9,31,3.1,215,68,167,142,,,,
223,BPM-hyp_4,44,9,25,2.5,62,131,,,,,,
224,BPM-hyp_4,45,9,35,3.5,155,52,,,,,,
225,BPM-hyp_4,46,9,38,3.8,145,4,,,,,,
226,BPM-hyp_4,47,9,31,3.1,162,74,,,,,,
227,BPM-hyp_4,48,9,31,3.1,64,117,,,,,,
228,BPM-hyp_4,49,9,55,5.5,62,126,,,,,,
229,BPM-hyp_4,50,9,25,2.5,155,292,,,,,,
230,BPM-hyp_4,51,9,74,7.4,117,270,,,,,,
231,BPM-hyp_4,52,9,70,7.0,183,89,,,,,,
232,BPM-hyp_4,53,9,26,2.6,255,82,,,,,,
233,BPM-hyp_4,54,9,49,4.9,67,133,130,68,,,,
234,BPM-hyp_4,55,9,25,2.5,162,54,,,,,,
235,BPM-hyp_4,56,9,28,2.8,168,111,,,,,,
236,BPM-hyp_4,57,9,49,4.9,65,133,,,,,,
237,BPM-hyp_4,58,9,33,3.3,209,259,,,,,,
238,BPM-hyp_4,59,9,55,5.5,64,122,,,,,,
239,BPM-hyp_4,60,9,46,4.6,169,37,78,141,,,,
