,x_rel,y_rel,tpore,frame,parea_mean,densS7_mean,mcurv_mean,charg_mean,order_mean_mean,parea_diff,densS7_diff,FS,MU,PU,ZWIT,NCHG,SUG,CHOL,PC,PE,SM,PS,GM,CE,LPC,DAG,PI,PA,PIP
40,0.1834591906,0.8368313959,2.0,1,68.82262067,0.9140552638,-0.0009664906553,-0.03617657471,0.2572532126,-8.233466375,0.04998166293,0.174930126,0.5171494782,0.8797116158,1.499438071,0.07235314942,0.02655363862,0.42820878,0.9294016163,0.2542202997,0.3158161546,0.0457995108,0.0,0.0,0.0,0.0,0.02655363862,0.0,0.0
41,0.1641476969,0.4184156979,3.7,1,53.75193395,0.9824685817,-0.001149907821,-0.1251664575,0.2469246274,-9.321876163,0.06087836194,0.06411522476,0.3608917589,0.9021259242,1.111149765,0.2159831432,0.1981991067,0.6728670922,0.5493664387,0.5271913264,0.03459199944,0.01778403654,0.07295154466,0.0,0.0,0.0,0.1166601191,0.0,0.008587442919
42,0.3347325583,0.1995521021,4.0,1,65.51723078,0.8547334677,-0.01876573713,-0.2778994916,0.2846766219,-0.5853262303,-0.07696452536,0.1373562375,0.5634218996,0.7364608884,1.226923632,0.2023214287,0.108208355,0.5627609745,0.7277833241,0.319745589,0.1793947185,0.0908609831,0.0,0.007993965301,0.0,0.0,0.02065198905,0.003252090534,0.08755636598
43,0.1738034438,0.9269517,5.9,1,66.97722639,0.8813384141,0.001288257884,-0.01377296021,0.2317482585,-14.38773753,-0.01640169453,0.3567655471,0.3729869199,0.6060780958,1.308284642,0.02754592043,0.0,0.6641694372,0.8017716393,0.1258113946,0.3807016085,0.02754592043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.9301702823,0.01609291146,5.5,1,58.29285764,1.013359082,0.001909095585,-0.1186405346,0.2016273258,-5.505561405,0.03980137733,0.2914081879,0.167772336,0.8748846965,1.005520732,0.2372810693,0.02380443832,0.6659347795,0.4847392581,0.2532420568,0.2675394175,0.213476631,0.004120979323,0.09126341879,0.0,0.0,0.01968345899,0.0,0.0
45,0.1062132156,0.7531482563,3.4,1,68.25481176,0.8727642826,-0.006456323295,-0.08794549794,0.2688669729,1.105573402,-0.1492386601,0.1994059139,0.3909549732,1.027282729,1.396583638,0.1758909959,0.00240131536,0.3823563843,0.7945436156,0.3092134123,0.2429726841,0.1734896805,0.0,0.0,0.0498539259,0.04516898186,0.00240131536,0.0,0.0
46,0.2027706844,0.9237331177,1.7,1,68.45976832,0.891724238,-0.01032740427,-0.04742084013,0.2872999749,-31.60476012,0.1705212004,0.3485299809,0.3509686583,0.9089249878,1.517012719,0.09141090834,0.02917935207,0.391576373,0.9994553474,0.1037684933,0.4137888779,0.05880078435,0.0,0.0,0.0,0.0,0.02917935207,0.003430771916,0.0
47,0.7821154969,0.8078641552,3.9,1,59.24593153,0.9494741903,0.00617498015,-0.1507040816,0.3038154454,4.27371973,-0.103850475,0.2718560281,0.8374723597,0.395095726,1.382063246,0.1223608676,0.1156386584,0.4955758863,0.6466314653,0.213667416,0.512218994,0.0,0.0,0.0,0.009545370899,0.0,0.02947611511,0.006722209163,0.08616254328
48,0.09977605104,0.8078641552,2.5,1,60.89324915,0.9594672166,-0.004953216393,-0.3750062959,0.2730579915,-0.5522867373,-0.07125537575,0.09629428217,0.4863276427,0.9850828602,1.195505641,0.2449712255,0.1089154713,0.4322952149,0.6546469613,0.4123581985,0.1136438617,0.1360557542,0.02474191026,0.0,0.01485661983,0.1272279182,0.0,0.0,0.08417356105
49,0.7949898261,0.9237331177,3.7,1,64.02327171,0.9008499076,0.002408034054,-0.227184518,0.2338555694,-4.547225265,-0.0755969022,0.1290073788,0.4759154301,0.7854774598,0.995704801,0.3946954677,0.06773119155,0.6095997314,0.595599343,0.2226196487,0.1732372413,0.2955378987,0.0469024771,0.0,0.00424856792,0.0,0.0161208493,0.03142637738,0.004707865151
50,0.08690172188,0.7434925094,2.1,1,66.40873511,0.8892648546,-0.01095731279,-0.09499881975,0.2425955382,7.227598684,-0.1993506543,0.3306955454,0.4248409911,0.8387157155,1.375468804,0.1899976395,0.004030980977,0.4057477481,0.4930787266,0.4410486728,0.3273347331,0.1859666585,0.0,0.0,0.1140066719,0.02878580803,0.004030980977,0.0,0.0
51,0.2285193427,0.9301702823,5.8,1,63.52495254,0.9406459992,-0.01603460339,-0.1159368736,0.2740938416,-34.06966916,0.2668129017,0.2255539494,0.4006766417,1.007721593,1.399116435,0.2194706846,0.1213262513,0.366047816,0.8565627895,0.2047025649,0.3378510805,0.08574137069,0.0,0.0,0.0,0.01536506438,0.1213262513,0.01240306261,0.0
