,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2
174,APM_3,55,9,38,3.8,181,285,,,,
175,APM_3,56,9,34,3.4,282,40,,,,
176,APM_3,57,9,31,3.1,49,240,,,,
177,APM_3,58,9,27,2.7,146,283,,,,
178,APM_3,59,9,37,3.7,297,35,,,,
179,APM_3,60,9,51,5.1,81,130,152,86,,
180,APM_4,1,9,19,1.9,6,42,160,111,,
181,APM_4,2,9,70,7.0,39,219,,,,
182,APM_4,3,9,37,3.7,12,296,,,,
183,APM_4,4,9,31,3.1,58,212,,,,
184,APM_4,5,9,19,1.9,162,114,,,,
185,APM_4,6,9,15,1.5,148,172,,,,
186,APM_4,7,9,14,1.4,164,97,,,,
187,APM_4,8,9,58,5.8,153,162,,,,
188,APM_4,9,9,19,1.9,184,139,,,,
189,APM_4,10,9,51,5.1,222,275,,,,
190,APM_4,11,9,35,3.5,90,246,,,,
191,APM_4,12,9,49,4.9,55,225,,,,
192,APM_4,13,9,25,2.5,53,127,,,,
193,APM_4,14,9,70,7.0,64,115,85,202,,
194,APM_4,15,9,68,6.8,290,224,,,,
195,APM_4,16,9,33,3.3,48,123,,,,
196,APM_4,17,9,25,2.5,215,279,,,,
197,APM_4,18,9,33,3.3,6,95,,,,
198,APM_4,19,9,25,2.5,40,88,,,,
199,APM_4,20,9,55,5.5,48,221,,,,
200,APM_4,21,9,25,2.5,25,26,,,,
201,APM_4,22,9,28,2.8,33,85,,,,
202,APM_4,23,9,34,3.4,78,262,,,,
203,APM_4,24,9,49,4.9,79,72,,,,
204,APM_4,25,9,26,2.6,278,216,,,,
205,APM_4,26,9,11,1.1,13,45,,,,
206,APM_4,27,9,31,3.1,8,31,,,,
207,APM_4,28,9,40,4.0,152,163,,,,
208,APM_4,29,9,25,2.5,168,115,,,,
209,APM_4,30,9,37,3.7,121,77,,,,
210,APM_4,31,9,27,2.7,259,5,,,,
211,APM_4,32,9,33,3.3,47,254,,,,
212,APM_4,33,9,49,4.9,36,70,,,,
213,APM_4,34,9,63,6.3,159,111,,,,
214,APM_4,35,9,25,2.5,184,266,,,,
215,APM_4,36,9,55,5.5,116,236,,,,
216,APM_4,37,9,15,1.5,218,262,,,,
217,APM_4,38,9,22,2.2,45,83,,,,
218,APM_4,39,9,56,5.6,246,15,,,,
219,APM_4,40,9,79,7.9,181,130,,,,
220,APM_4,41,9,25,2.5,292,213,,,,
221,APM_4,42,9,40,4.0,61,117,172,108,,
222,APM_4,43,9,32,3.2,158,178,,,,
223,APM_4,44,9,38,3.8,296,213,,,,
224,APM_4,45,9,14,1.4,23,89,,,,
225,APM_4,46,9,61,6.1,165,96,,,,
226,APM_4,47,9,13,1.3,125,166,,,,
227,APM_4,48,9,56,5.6,295,224,,,,
228,APM_4,49,9,50,5.0,276,214,,,,
229,APM_4,50,9,67,6.7,280,182,,,,
230,APM_4,51,9,69,6.9,49,191,,,,
231,APM_4,52,9,22,2.2,194,275,,,,
232,APM_4,53,9,29,2.9,149,165,,,,
233,APM_4,54,9,50,5.0,101,258,,,,
234,APM_4,55,9,31,3.1,297,45,,,,
235,APM_4,56,9,57,5.7,12,51,,,,
236,APM_4,57,9,71,7.1,182,283,,,,
237,APM_4,58,9,66,6.6,53,62,,,,
238,APM_4,59,9,31,3.1,295,231,80,283,241,207
239,APM_4,60,9,19,1.9,248,56,,,,
